column,method_code,method,problem_score,low_signal_z,stripe_z,neighbor_z,texture_z,surface_jitter_z
82,0,keep/sharp,0.560030,0.443454,0.656326,0.000000,0.303356,0.821651
83,0,keep/sharp,0.528611,0.581299,1.040520,0.000000,0.240085,0.030659
84,0,keep/sharp,0.524746,0.189854,0.429231,0.000000,0.142856,0.000000
85,0,keep/sharp,0.432554,0.461964,0.606815,0.254800,0.123111,0.000000
86,0,keep/sharp,0.446123,0.695258,0.633782,0.000000,0.378635,0.000000
87,0,keep/sharp,0.460593,0.451093,0.767058,0.797811,1.041593,0.000000
88,0,keep/sharp,0.574212,0.788319,0.219142,0.000000,0.288904,0.374034
89,0,keep/sharp,0.604249,0.865396,0.560839,0.000000,0.623951,0.012263
90,0,keep/sharp,0.611043,0.965728,0.965274,0.000000,0.302156,0.067449
91,0,keep/sharp,0.557598,0.853402,2.004134,0.000000,0.182241,2.066390
92,0,keep/sharp,0.553921,0.621159,1.192752,0.000000,0.282568,0.355640
93,0,keep/sharp,0.528499,0.729035,0.782904,0.000000,0.105970,0.478276
94,0,keep/sharp,0.508384,0.561775,0.357353,0.000000,0.168340,0.000000
95,0,keep/sharp,0.432934,0.304179,0.337917,0.235079,0.702811,0.000000
96,0,keep/sharp,0.388944,0.732680,0.232714,0.000000,0.325548,0.000000
97,0,keep/sharp,0.356750,0.591462,0.532235,0.616300,0.065998,0.036790
98,0,keep/sharp,0.363855,0.346698,1.098427,0.000000,0.248483,0.000000
99,0,keep/sharp,0.362611,0.526264,0.311613,0.103661,0.188130,0.000000
100,0,keep/sharp,0.366380,0.225060,0.621184,0.000000,0.104994,0.000000
101,0,keep/sharp,0.339388,0.642674,0.412921,0.000000,0.237006,0.000000
102,0,keep/sharp,0.320119,0.698416,0.271566,0.000000,0.247049,0.000000
103,0,keep/sharp,0.330435,0.516705,0.549002,0.000000,0.268257,0.000000
104,0,keep/sharp,0.401653,0.434631,0.384648,0.000000,0.410040,0.000000
105,0,keep/sharp,0.377650,0.470426,0.595242,0.000000,0.114995,0.000000
106,0,keep/sharp,0.399836,0.560562,0.447478,0.082782,0.128306,0.631567
107,0,keep/sharp,0.399566,0.894357,1.396925,0.000000,0.319022,0.631569
108,0,keep/sharp,0.414246,0.320469,0.171609,0.000000,0.000000,0.637701
109,0,keep/sharp,0.459131,0.840435,0.628922,0.000000,0.219589,0.104239
110,0,keep/sharp,0.463357,0.851210,0.207546,0.000000,0.298329,0.000000
111,0,keep/sharp,0.380549,0.434035,0.663171,0.218846,0.147109,0.000000
112,0,keep/sharp,0.413095,0.417387,0.700778,0.680147,1.346337,0.000000
113,0,keep/sharp,0.410142,0.581071,0.625211,0.000000,0.279345,0.000000
114,0,keep/sharp,0.409626,0.565186,0.008320,0.000000,0.161873,0.000000
115,0,keep/sharp,0.394863,0.245696,1.002526,0.000000,0.204608,0.000000
116,0,keep/sharp,0.327899,0.246226,0.802754,0.000000,1.127218,0.000000
117,0,keep/sharp,0.323714,0.682257,0.337016,0.000000,0.356164,0.000000
118,0,keep/sharp,0.344248,0.610050,0.172690,0.000000,0.514166,0.000000
119,0,keep/sharp,0.338755,0.522009,0.042898,0.000000,0.125015,0.000000
120,0,keep/sharp,0.320301,0.275779,0.564903,0.306861,0.391667,0.000000
121,0,keep/sharp,0.323427,0.402917,0.502603,0.000000,0.488427,0.000000
122,0,keep/sharp,0.342084,0.307583,0.627768,0.354176,0.048279,0.000000
123,0,keep/sharp,0.388596,0.295942,0.725213,0.000000,0.126751,0.000000
124,0,keep/sharp,0.380030,0.562969,0.585463,0.000000,0.194927,0.000000
125,0,keep/sharp,0.387268,0.515711,0.786458,0.000000,0.252756,0.000000
126,0,keep/sharp,0.402101,0.536843,1.037940,0.000000,0.230657,0.000000
127,0,keep/sharp,0.411563,0.587384,0.238839,0.129960,0.279604,0.000000
128,0,keep/sharp,0.436620,0.560307,0.121977,0.675600,0.261870,0.000000
129,0,keep/sharp,0.429834,0.692683,0.796309,0.000000,0.164693,0.000000
130,0,keep/sharp,0.388873,0.735081,0.045702,0.653549,0.138089,0.000000
131,0,keep/sharp,0.397187,0.786324,0.683708,0.000000,0.369168,1.140502
132,0,keep/sharp,0.423180,0.693540,0.172195,0.000000,0.317034,1.637171
133,0,keep/sharp,0.427076,0.532372,0.138184,0.000000,0.176789,0.000000
134,0,keep/sharp,0.385621,0.456664,0.660183,0.000000,0.241219,0.000000
135,0,keep/sharp,0.392266,0.762523,1.012265,0.000000,0.211278,0.000000
136,0,keep/sharp,0.371825,0.381184,1.168481,0.000000,0.209234,0.000000
137,0,keep/sharp,0.381812,0.177726,0.122071,0.000000,0.114173,0.000000
138,0,keep/sharp,0.372609,1.074643,0.720679,0.000000,0.415688,0.000000
139,0,keep/sharp,0.358513,0.332980,0.327607,0.080278,0.159518,0.000000
140,0,keep/sharp,0.317614,0.603593,0.258875,0.000000,0.259311,0.024525
141,0,keep/sharp,0.367342,0.280549,0.639915,0.000000,0.197023,0.000000
142,0,keep/sharp,0.337377,0.615974,0.839985,0.000000,0.200443,0.000000
143,0,keep/sharp,0.332869,0.131818,0.104499,0.571303,0.148097,0.000000
144,0,keep/sharp,0.357932,0.916461,0.399748,0.000000,0.450825,0.000000
145,0,keep/sharp,0.346933,0.257394,0.706726,0.398251,0.016783,0.000000
146,0,keep/sharp,0.337518,0.279012,0.306740,0.000000,0.148253,0.202347
147,0,keep/sharp,0.340533,0.440349,0.860039,0.000000,0.586640,0.000000
148,0,keep/sharp,0.305990,0.564023,0.102060,0.000000,0.236136,0.000000
149,0,keep/sharp,0.284118,0.335128,0.475926,0.158152,1.003899,0.000000
150,0,keep/sharp,0.312725,0.342315,0.308046,0.000000,0.319292,0.000000
151,0,keep/sharp,0.310410,0.074913,0.325113,0.000000,0.732513,0.000000
152,0,keep/sharp,0.328080,0.362536,0.183268,0.202913,0.188446,0.000000
153,0,keep/sharp,0.325343,0.025441,0.943408,0.000000,0.890491,0.000000
154,0,keep/sharp,0.320474,0.461858,0.918888,0.000000,0.245829,0.000000
155,0,keep/sharp,0.358465,0.424255,0.679146,0.000000,0.125499,0.000000
156,0,keep/sharp,0.411825,0.513510,0.669971,0.000000,0.186938,0.000000
157,0,keep/sharp,0.379896,0.577373,0.051800,0.000000,0.053386,0.134898
158,0,keep/sharp,0.367151,0.638325,0.719610,0.000000,0.285982,0.564118
159,0,keep/sharp,0.358143,0.640969,1.236400,0.000000,0.256398,0.000000
160,0,keep/sharp,0.349241,0.228970,0.278816,0.000000,0.105704,0.312719
161,0,keep/sharp,0.376550,0.349741,0.795651,0.000000,0.001418,0.239139
162,0,keep/sharp,0.332862,0.636723,0.195924,0.000000,0.225202,0.220743
163,0,keep/sharp,0.265067,0.488474,0.447892,0.000000,0.211983,0.220743
164,0,keep/sharp,0.267079,0.662353,0.457659,0.000000,0.344606,0.233007
165,0,keep/sharp,0.241659,0.364610,0.088762,0.000000,0.286522,0.000000
166,0,keep/sharp,0.288583,0.241615,0.092301,0.000000,0.255661,0.000000
167,0,keep/sharp,0.321522,0.454263,0.144362,0.000000,0.137495,0.000000
168,0,keep/sharp,0.310380,0.186138,0.271330,0.000000,0.381749,0.000000
169,0,keep/sharp,0.338482,0.648504,1.298186,0.000000,0.177415,0.000000
170,0,keep/sharp,0.383106,0.780366,0.774846,0.000000,0.403245,0.594777
171,0,keep/sharp,0.404944,0.623506,0.130267,0.000000,0.305373,1.030131
172,0,keep/sharp,0.411369,0.665664,0.342158,0.000000,0.260500,0.619305
173,0,keep/sharp,0.394231,0.777972,0.551199,0.000000,0.122900,0.502803
174,0,keep/sharp,0.414212,0.435538,0.226636,0.356393,0.329075,0.631569
175,0,keep/sharp,0.485732,0.376192,0.139706,0.000000,0.194757,1.024000
176,0,keep/sharp,0.498935,0.062595,1.273787,0.000000,0.227787,1.146633
177,0,keep/sharp,0.509483,0.254710,1.092724,0.000000,0.237572,4.972829
178,0,keep/sharp,0.533885,0.631008,1.299477,0.000000,0.199035,4.004015
179,0,keep/sharp,0.592094,0.527808,0.188062,0.000000,0.276240,4.212495
180,0,keep/sharp,0.585061,0.556999,0.894245,0.000000,0.286913,0.784861
181,0,keep/sharp,0.561121,0.516178,0.677265,0.000000,0.294135,2.422032
182,0,keep/sharp,0.513877,0.664576,0.576027,0.000000,0.267990,4.562002
183,0,keep/sharp,0.516856,0.828198,0.259505,0.000000,0.380650,1.490009
184,0,keep/sharp,0.519633,0.356990,0.094620,1.198466,0.282415,1.814990
185,0,keep/sharp,0.510638,0.615650,0.570842,0.000000,0.357664,1.618775
186,0,keep/sharp,0.521065,0.724403,0.448934,0.000000,0.339770,1.680093
187,0,keep/sharp,0.484742,0.521868,0.649579,0.000000,0.335940,2.783802
188,0,keep/sharp,0.493118,0.315945,0.477533,0.000000,0.727194,2.563061
189,0,keep/sharp,0.513936,0.009531,2.002811,0.000000,0.217834,1.226346
190,0,keep/sharp,0.481577,0.464147,0.015392,0.000000,0.188361,0.564118
191,0,keep/sharp,0.498536,0.719367,0.770678,0.000000,0.392429,1.631038
192,0,keep/sharp,0.502026,0.000000,1.501092,0.000000,0.460179,2.213550
193,0,keep/sharp,0.471937,0.435532,0.015461,0.000000,0.074427,2.207419
194,0,keep/sharp,0.552707,0.621159,0.956510,0.000000,0.332615,2.667298
195,0,keep/sharp,0.523400,0.495252,0.592820,0.000000,0.228129,2.458820
196,0,keep/sharp,0.526120,0.162512,0.056801,1.056186,0.680533,2.403636
197,0,keep/sharp,0.551452,0.484586,1.523033,0.000000,0.279623,2.182895
198,0,keep/sharp,0.534124,0.459754,0.272480,0.000000,0.148799,2.759277
199,0,keep/sharp,0.493899,0.541133,0.744396,0.000000,0.198851,4.666243
200,0,keep/sharp,0.486307,0.326592,0.659821,0.162213,0.782239,0.000000
201,0,keep/sharp,0.420617,0.271252,1.381363,0.000000,0.210400,0.000000
202,0,keep/sharp,0.404424,0.117002,0.296507,0.153829,0.335246,0.000000
203,0,keep/sharp,0.375731,0.403260,0.966029,0.000000,0.224839,0.000000
204,0,keep/sharp,0.380452,0.361857,0.451878,0.000000,0.252374,0.429221
205,0,keep/sharp,0.377195,0.339680,0.156183,0.263445,0.239047,0.557987
206,0,keep/sharp,0.403056,0.317569,0.420403,0.681754,0.232130,0.919757
207,0,keep/sharp,0.404709,0.342979,1.052984,0.000000,0.096547,0.484405
208,0,keep/sharp,0.423331,0.822873,0.672099,0.000000,0.361240,0.269796
209,0,keep/sharp,0.425534,0.556715,0.508124,0.000000,0.272901,0.496670
210,0,keep/sharp,0.399633,0.688736,0.726618,0.000000,0.226059,0.000000
211,0,keep/sharp,0.423786,0.696265,0.600000,0.000000,0.298844,0.000000
212,0,keep/sharp,0.411024,0.305485,0.374211,0.307272,0.041930,0.000000
213,0,keep/sharp,0.456635,0.375194,0.368237,0.000000,0.265863,0.190084
214,0,keep/sharp,0.482565,0.786455,1.025573,0.000000,0.406234,0.631567
215,0,keep/sharp,0.539789,0.810393,0.287719,0.000000,0.344661,0.981076
216,0,keep/sharp,0.557927,0.965432,0.865639,0.000000,0.265110,2.231950
217,0,keep/sharp,0.607033,0.680708,1.168638,0.000000,0.210628,0.974945
218,0,keep/sharp,0.590578,1.011780,1.295315,0.000000,0.316077,1.765939
219,0,keep/sharp,0.620484,0.770327,0.163386,0.000000,0.218058,1.986680
220,0,keep/sharp,0.659085,0.596451,0.330409,0.000000,0.270772,5.960037
221,0,keep/sharp,0.740131,0.616005,0.015531,0.000000,0.259036,5.966170
222,0,keep/sharp,0.699221,0.318726,0.712310,0.000000,0.169886,5.904852
223,0,keep/sharp,0.727548,0.420049,1.763834,0.731286,0.456876,1.661697
224,0,keep/sharp,0.794193,0.464284,2.024386,0.000000,0.890123,6.683580
225,0,keep/sharp,0.810039,0.356273,0.163439,0.231915,0.115285,6.450575
226,0,keep/sharp,0.773591,0.256053,0.494567,0.431190,0.135584,5.285546
227,0,keep/sharp,0.685553,0.565922,1.591299,0.728583,0.354518,4.249283
228,0,keep/sharp,0.575846,0.277538,0.296317,0.525470,0.361256,5.917113
229,0,keep/sharp,0.513597,0.677181,0.174511,0.000000,0.228233,1.845649
230,0,keep/sharp,0.534753,0.676520,0.445441,0.064943,0.000000,0.000000
231,0,keep/sharp,0.494539,0.347518,1.013111,0.000000,0.085224,0.226874
232,0,keep/sharp,0.489341,0.320141,0.020660,0.000000,0.000000,0.134900
233,0,keep/sharp,0.463853,0.738460,1.554876,0.000000,0.095407,0.772598
234,0,keep/sharp,0.453705,1.030720,1.339840,0.000000,0.352218,0.600911
235,0,keep/sharp,0.445464,0.567936,1.058300,0.000000,0.623782,0.404695
236,0,keep/sharp,0.495465,0.183709,0.187109,0.388136,0.000000,0.000000
237,0,keep/sharp,0.443915,0.751811,0.189523,0.000000,0.000000,0.000000
238,0,keep/sharp,0.424889,0.792263,0.380615,0.000000,0.221113,0.000000
239,0,keep/sharp,0.484922,0.325866,0.628174,0.312317,0.489626,0.784861
240,0,keep/sharp,0.564754,0.781367,0.060656,0.000000,0.189645,2.336189
241,0,keep/sharp,0.579790,0.601227,0.552096,0.000000,0.314858,5.487895
242,0,keep/sharp,0.595546,0.352111,1.840396,0.000000,0.253472,6.143991
243,0,keep/sharp,0.634485,0.478996,1.737886,0.000000,0.171845,1.085315
244,0,keep/sharp,0.638586,0.018950,0.944420,0.414035,0.000000,0.000000
245,0,keep/sharp,0.587558,0.511561,0.895853,0.206825,0.131764,0.000000
246,0,keep/sharp,0.492406,0.490622,0.520893,0.000000,0.192624,12.484192
247,0,keep/sharp,0.469038,0.396800,0.389000,0.000000,0.166486,3.237550
248,0,keep/sharp,0.497309,0.063982,0.833023,0.000000,0.042943,0.478273
249,0,keep/sharp,0.466632,0.730931,0.055943,0.000000,0.225689,1.680093
250,0,keep/sharp,0.414316,0.000000,0.865620,1.079208,0.000000,1.759806
251,0,keep/sharp,0.430902,0.176180,1.695474,0.000000,0.074865,0.000000
252,0,keep/sharp,0.454281,0.074077,0.824318,0.000000,0.000000,0.000000
253,0,keep/sharp,0.469733,0.536999,0.333203,0.000000,0.000000,2.023468
254,0,keep/sharp,0.431818,0.302286,0.632619,0.000000,0.000000,5.015752
255,0,keep/sharp,0.404347,0.318873,0.164270,0.102740,0.285259,5.334600
256,0,keep/sharp,0.428383,0.309650,0.030674,0.647906,0.000000,4.218625
257,0,keep/sharp,0.459610,0.425904,0.420976,0.022424,0.346152,0.472144
258,0,keep/sharp,0.450727,0.466578,0.332803,0.000000,0.068391,2.875778
259,0,keep/sharp,0.455634,0.246407,0.465379,0.308131,0.000000,3.200758
260,0,keep/sharp,0.504960,0.348341,0.839104,0.055973,0.061008,3.997884
261,0,keep/sharp,0.503317,0.203591,0.383755,0.630390,0.127849,2.826725
262,0,keep/sharp,0.522484,0.421243,0.610533,0.000000,0.000000,3.777143
263,0,keep/sharp,0.541253,0.227532,1.109804,0.000000,0.133738,7.456177
264,0,keep/sharp,0.509506,0.080587,0.241427,0.990159,0.000000,0.000000
265,0,keep/sharp,0.579259,0.426369,0.599303,0.536109,0.813903,0.000000
266,0,keep/sharp,0.580830,0.480462,1.107844,0.000000,0.000000,1.796596
267,0,keep/sharp,0.478488,0.265665,0.750290,0.000000,0.135160,0.668359
268,0,keep/sharp,0.565166,0.000000,2.552264,0.386803,0.000000,1.747541
269,0,keep/sharp,0.538122,0.232196,0.369810,1.238842,0.488724,0.000000
270,0,keep/sharp,0.502174,0.053731,0.187443,0.000000,0.087757,0.000000
271,0,keep/sharp,0.503627,0.137536,2.240138,0.483463,0.523650,0.374034
272,0,keep/sharp,0.400801,0.432059,0.523348,0.000000,0.155921,0.588646
273,0,keep/sharp,0.415217,0.128126,0.646687,0.303696,0.115892,0.122635
274,0,keep/sharp,0.495581,0.673870,0.455651,0.000000,0.239060,0.000000
275,0,keep/sharp,0.488917,0.675629,0.044757,0.000000,0.227757,0.000000
276,0,keep/sharp,0.538627,0.298704,0.857770,0.033923,0.075579,4.886984
277,0,keep/sharp,0.591951,0.268437,0.453555,0.101133,1.015504,5.641188
278,0,keep/sharp,0.571360,0.398755,1.095363,0.000000,0.148114,8.486306
279,0,keep/sharp,0.663560,0.342249,0.312495,0.324352,0.142190,11.055500
280,0,keep/sharp,0.617907,0.000000,0.371384,0.807652,0.051806,11.214924
281,0,keep/sharp,0.604137,0.185315,0.486791,0.000000,0.000000,0.429223
282,0,keep/sharp,0.657840,0.783883,1.357471,0.000000,0.000000,4.666241
283,0,keep/sharp,0.642077,0.318732,0.261383,0.000000,0.000000,2.403636
284,0,keep/sharp,0.617322,0.428399,0.596100,0.000000,0.000000,4.752086
285,0,keep/sharp,0.705229,0.523268,1.644948,0.603394,0.443515,10.669204
286,0,keep/sharp,0.709267,0.323350,0.508557,0.000000,0.024096,6.401522
287,0,keep/sharp,0.790883,0.349314,0.282880,0.000000,0.000000,6.665186
288,0,keep/sharp,0.752508,0.249568,0.958987,0.690910,0.000000,6.383128
289,0,keep/sharp,0.660790,0.431903,1.107777,0.202614,0.000000,10.092818
290,0,keep/sharp,0.691906,0.447146,0.957876,0.168430,0.000000,8.474041
291,0,keep/sharp,0.718357,0.626780,0.295927,0.000000,0.020999,0.000000
292,0,keep/sharp,0.673534,0.230569,1.242025,0.362298,0.000000,1.539063
293,0,keep/sharp,0.630403,0.219270,0.962078,0.522804,0.000000,6.327940
294,0,keep/sharp,0.613849,0.210269,0.799424,0.000000,0.000000,10.313560
295,0,keep/sharp,0.691522,0.382166,0.048066,0.000000,0.000000,12.858228
296,0,keep/sharp,0.707783,0.589027,1.096464,0.000000,0.000000,1.980545
297,0,keep/sharp,0.681476,0.372392,1.832870,0.000000,0.000000,1.447087
298,0,keep/sharp,0.620547,0.419968,1.951528,0.000000,0.000000,1.900837
299,0,keep/sharp,0.631408,0.392114,1.686238,0.259222,0.000000,0.545724
300,0,keep/sharp,0.660201,0.051259,0.587731,0.062339,0.000000,14.182678
301,0,keep/sharp,0.611880,0.192255,0.268529,0.000000,0.000000,2.869647
302,0,keep/sharp,0.548615,0.000000,0.663137,0.000000,0.000000,15.317048
303,0,keep/sharp,0.525832,0.449241,0.911033,0.000000,0.000000,10.577225
304,0,keep/sharp,0.596128,0.309298,0.183906,0.015037,0.000000,5.218097
305,0,keep/sharp,0.730014,0.387110,0.790132,0.000000,0.000000,0.441483
306,0,keep/sharp,0.768270,0.577816,0.503534,0.000000,0.000000,4.715296
307,0,keep/sharp,0.823235,0.749706,1.543392,0.000000,0.000000,9.724915
308,1,small pool,0.869809,0.636448,2.034416,0.000000,0.000000,12.735593
309,1,small pool,0.933733,0.504512,1.038753,0.000000,0.000000,11.392743
310,1,small pool,0.954885,0.519003,1.298145,1.108259,0.000000,15.188284
311,1,small pool,0.934090,0.885412,1.197627,0.000000,0.223391,1.526801
312,0,keep/sharp,0.843670,0.708546,1.540755,0.000000,0.000000,2.808329
313,0,keep/sharp,0.829723,0.322957,0.815315,0.000000,0.199448,6.793951
314,0,keep/sharp,0.719462,0.518373,1.128753,0.000000,0.436466,11.962995
315,0,keep/sharp,0.673645,0.090941,0.520595,0.000000,0.000000,9.982448
316,0,keep/sharp,0.631169,0.537625,0.856619,0.000000,0.000000,6.977905
317,0,keep/sharp,0.596862,0.789046,0.565016,0.000000,0.152044,0.000000
318,0,keep/sharp,0.623483,0.171098,0.468661,0.000000,0.966753,2.133841
319,0,keep/sharp,0.656107,0.582253,0.402208,0.000000,0.000000,4.678504
320,0,keep/sharp,0.659929,0.356625,0.730774,0.000000,0.044168,2.685694
321,0,keep/sharp,0.736593,0.340023,2.050092,0.030061,0.000000,10.834758
322,0,keep/sharp,0.799569,0.368713,1.186937,0.000000,0.000000,6.769425
323,1,small pool,0.881061,0.299178,1.033252,0.000000,0.000000,7.848609
324,1,small pool,0.952341,0.288970,1.704553,0.000000,0.000000,7.033087
325,1,small pool,0.955846,0.416514,1.081286,0.000000,0.000000,8.406594
326,1,small pool,1.021317,0.053868,2.217963,0.000000,0.000000,9.590017
327,1,small pool,1.111919,0.000000,1.685480,0.225337,0.000000,12.570035
328,1,small pool,1.108275,0.325663,2.502391,0.000000,0.000000,5.904850
329,1,small pool,1.167484,0.334891,2.468829,0.000000,0.079384,13.569507
330,1,small pool,1.176891,0.000000,3.750394,0.000000,0.000000,5.481763
331,1,small pool,1.162598,0.000000,2.524978,0.000000,0.000000,3.170101
332,1,small pool,1.150645,0.154774,2.671553,0.000000,0.000000,13.765722
333,1,small pool,1.135404,0.068802,2.637149,0.000000,0.000000,6.628394
334,1,small pool,1.026378,0.174677,1.823088,0.000000,0.000000,5.089333
335,1,small pool,0.998845,0.000000,3.259696,0.000000,0.000000,1.490009
336,1,small pool,0.953596,0.337816,2.545268,0.000000,0.085958,5.359128
337,1,small pool,0.886691,0.000000,1.850259,0.000000,0.000000,1.998943
338,0,keep/sharp,0.839436,0.010494,1.304649,0.000000,0.000000,6.818476
339,0,keep/sharp,0.775236,0.616180,1.203285,0.000000,0.000000,8.106140
340,0,keep/sharp,0.693719,0.430905,0.533869,0.000000,0.053910,13.955806
