x_km,shell_mode,scenario,scenario_label,band,frequency_mhz,band_role,ocean_depth_m,surface_height_m,surface_slope_deg,layer_count,layer_source_statuses,ocean_in_band_window,classification,ocean_snr_margin_db,false_snr_margin_db,false_minus_ocean_db,false_depth_m,surface_clutter_snr_margin_db,surface_clutter_apparent_depth_m,surface_roughness_index,attenuation_risk_0_100,false_layer_risk_0_100,surface_clutter_risk_0_100,material_ambiguity_risk_0_100,band_window_penalty_0_100,cross_band_support_0_100,ocean_confidence_score_0_100,confidence_band,v3_broad_outcome,v3_interpretation
-60.0,thin_3km_reason_mode,warm_impure_ice,Warm impure ice,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,4.602648432634339,-999.0,-1003.6026484326344,,-999.0,,0.0,43.59,0.0,0.0,55.0,0.0,85.0,76.24,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,warm_impure_ice,Warm impure ice,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,22.75773153508567,-999.0,-1021.7577315350856,,-999.0,,0.0,0.0,0.0,0.0,55.0,25.0,85.0,86.9,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,stacked_dirty_layers,Stacked dirty layers,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,6,Sensitivity bracket from paper-supported material families,True,false layer stronger,13.97290304936277,17.32602942835903,3.353126378996258,2248.8890278468198,-999.0,,0.0,1.18,90.24,0.0,92.0,0.0,30.0,24.75,low,likely_false_boundary,likely false/internal boundary
-60.0,thin_3km_reason_mode,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,6,Sensitivity bracket from paper-supported material families,True,weak/no deep detection,-3.580039985346854,-0.2130502179265692,3.366989767420285,2160.8890278468198,-999.0,,0.0,88.94,0.0,0.0,92.0,0.0,30.0,0.0,not_interpretable,weak_no_deep_detection,too weak for deep-ocean call
-60.0,thin_3km_reason_mode,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,6,Sensitivity bracket from paper-supported material families,True,false layer stronger,14.575043117104478,17.942032884524767,3.3669897674202893,2160.8890278468198,-999.0,,0.0,0.0,90.4,0.0,92.0,25.0,30.0,13.53,not_interpretable,likely_false_boundary,likely false/internal boundary
-60.0,thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,17.142044646367317,-999.0,-1016.1420446463674,,-999.0,,0.0,0.0,0.0,0.0,68.0,0.0,85.0,96.46,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,4.602648432634339,-999.0,-1003.6026484326344,,-999.0,,0.0,45.15,0.0,0.0,68.0,0.0,85.0,74.48,moderate,ocean_candidate,moderate-confidence ocean candidate
-60.0,thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,22.75773153508567,-999.0,-1021.7577315350856,,-999.0,,0.0,0.0,0.0,0.0,68.0,25.0,85.0,85.21,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,false layer stronger,11.246765506030547,15.25666358030731,4.0098980742767605,2248.8890278468198,-999.0,,0.0,15.77,98.12,0.0,100.0,0.0,30.0,19.87,low,likely_false_boundary,likely false/internal boundary
-60.0,thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,weak/no deep detection,-10.618896855211185,-5.220080329198202,5.398816526012981,2160.8890278468198,-999.0,,0.0,100.0,0.0,0.0,100.0,0.0,30.0,0.0,not_interpretable,weak_no_deep_detection,too weak for deep-ocean call
-60.0,thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,false layer stronger,7.536186247240149,12.935002773253135,5.398816526012986,2160.8890278468198,-999.0,,0.0,34.32,100.0,0.0,100.0,25.0,30.0,0.0,not_interpretable,likely_false_boundary,likely false/internal boundary
-60.0,thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,19.23080913909781,-999.0,-1018.2308091390978,,-999.0,,0.0,0.0,0.0,0.0,32.0,0.0,85.0,100.0,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,9.9958151622974,-999.0,-1008.9958151622974,,3.698187907400309,2283.854028327164,0.6005069911702977,13.86,0.0,60.89,32.0,0.0,85.0,89.01,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,28.150898264748733,-999.0,-1027.1508982647488,,-1.3018120925996914,2283.854028327164,0.6005069911702977,0.0,0.0,21.02,32.0,25.0,85.0,87.79,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,complex_with_clutter,Complex + clutter,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,false layer stronger,11.246765506030547,15.25666358030731,4.0098980742767605,2248.8890278468198,-999.0,,0.0,15.77,98.12,0.0,100.0,0.0,20.0,18.07,low,likely_false_boundary,likely false/internal boundary
-60.0,thin_3km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,surface clutter in shallow window,-10.618896855211185,-5.220080329198202,5.398816526012981,2160.8890278468198,5.409632832235657,2283.854028327164,0.6005069911702977,100.0,0.0,90.0,100.0,0.0,20.0,0.0,not_interpretable,surface_clutter,likely surface-clutter echo
-60.0,thin_3km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,false layer stronger,7.536186247240149,12.935002773253135,5.398816526012986,2160.8890278468198,0.4096328322356566,2283.854028327164,0.6005069911702977,34.32,100.0,37.87,100.0,25.0,20.0,0.0,not_interpretable,likely_false_boundary,likely false/internal boundary
-59.5,thin_3km_reason_mode,clean_ice_control,Clean ice,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,19.261375334784343,-999.0,-1018.2613753347844,,-999.0,,0.0,0.0,0.0,0.0,5.0,0.0,85.0,100.0,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,10.08162232100581,-999.0,-1009.081622321006,,-999.0,,0.0,10.19,0.0,0.0,5.0,0.0,85.0,99.02,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,28.23670542345714,-999.0,-1027.2367054234571,,-999.0,,0.0,0.0,0.0,0.0,5.0,25.0,85.0,93.4,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,salt_layers_reason,Salt layers,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.818965943336,110.69606493723512,-0.3686469279128909,1,Directly paper anchored epsilon and layer thicknesses,True,clear ocean boundary,19.260375334784342,3.149352965734949,-16.111022369049394,1447.4094829716678,-999.0,,0.0,0.0,0.0,0.0,27.0,0.0,85.0,100.0,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.818965943336,110.69606493723512,-0.3686469279128909,1,Directly paper anchored epsilon and layer thicknesses,True,clear ocean boundary,10.079040332108338,-6.722584209951171,-16.801624542059507,1447.4094829716678,-999.0,,0.0,12.84,0.0,0.0,27.0,0.0,85.0,96.03,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.818965943336,110.69606493723512,-0.3686469279128909,1,Directly paper anchored epsilon and layer thicknesses,True,clear ocean boundary,28.23412343455967,11.432498892500169,-16.801624542059503,1447.4094829716678,-999.0,,0.0,0.0,0.0,0.0,27.0,25.0,85.0,90.54,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,near_surface_brine,Near-surface brine,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,19.261375334784343,-999.0,-1018.2613753347844,,-999.0,,0.0,0.0,0.0,0.0,45.0,0.0,85.0,99.45,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,10.08162232100581,-999.0,-1009.081622321006,,-999.0,,0.0,14.99,0.0,0.0,45.0,0.0,85.0,93.58,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,28.23670542345714,-999.0,-1027.2367054234571,,-999.0,,0.0,0.0,0.0,0.0,45.0,25.0,85.0,88.2,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,warm_impure_ice,Warm impure ice,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,17.17111335279048,-999.0,-1016.1711133527904,,-999.0,,0.0,0.0,0.0,0.0,55.0,0.0,85.0,98.15,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,warm_impure_ice,Warm impure ice,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,4.684589090690661,-999.0,-1003.6845890906908,,-999.0,,0.0,43.18,0.0,0.0,55.0,0.0,85.0,76.48,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,warm_impure_ice,Warm impure ice,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,22.839672193141997,-999.0,-1021.839672193142,,-999.0,,0.0,0.0,0.0,0.0,55.0,25.0,85.0,86.9,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,stacked_dirty_layers,Stacked dirty layers,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.818965943336,110.69606493723512,-0.3686469279128909,6,Sensitivity bracket from paper-supported material families,True,false layer stronger,13.965265711765875,17.358150184899994,3.392884473134117,2246.92898738321,-999.0,,0.0,1.21,90.71,0.0,92.0,0.0,30.0,24.68,low,likely_false_boundary,likely false/internal boundary
-59.5,thin_3km_reason_mode,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.818965943336,110.69606493723512,-0.3686469279128909,6,Sensitivity bracket from paper-supported material families,True,weak/no deep detection,-3.5928739254204274,-0.1164326736881885,3.476441251732239,2158.92898738321,-999.0,,0.0,89.0,0.0,0.0,92.0,0.0,30.0,0.0,not_interpretable,weak_no_deep_detection,too weak for deep-ocean call
-59.5,thin_3km_reason_mode,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.818965943336,110.69606493723512,-0.3686469279128909,6,Sensitivity bracket from paper-supported material families,True,false layer stronger,14.562209177030905,18.038650428763148,3.4764412517322434,2158.92898738321,-999.0,,0.0,0.0,91.72,0.0,92.0,25.0,30.0,13.35,not_interpretable,likely_false_boundary,likely false/internal boundary
-59.5,thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,17.17111335279048,-999.0,-1016.1711133527904,,-999.0,,0.0,0.0,0.0,0.0,68.0,0.0,85.0,96.46,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,4.684589090690661,-999.0,-1003.6845890906908,,-999.0,,0.0,44.74,0.0,0.0,68.0,0.0,85.0,74.72,moderate,ocean_candidate,moderate-confidence ocean candidate
-59.5,thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,22.839672193141997,-999.0,-1021.839672193142,,-999.0,,0.0,0.0,0.0,0.0,68.0,25.0,85.0,85.21,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.818965943336,110.69606493723512,-0.3686469279128909,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,false layer stronger,11.238412866633498,15.29609528431588,4.057682417682381,2246.92898738321,-999.0,,0.0,15.81,98.69,0.0,100.0,0.0,30.0,19.76,low,likely_false_boundary,likely false/internal boundary
-59.5,thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.818965943336,110.69606493723512,-0.3686469279128909,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,weak/no deep detection,-10.633577696591104,-5.104573086643111,5.529004609947993,2158.92898738321,-999.0,,0.0,100.0,0.0,0.0,100.0,0.0,30.0,0.0,not_interpretable,weak_no_deep_detection,too weak for deep-ocean call
-59.5,thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.818965943336,110.69606493723512,-0.3686469279128909,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,false layer stronger,7.521505405860228,13.050510015808223,5.529004609947997,2158.92898738321,-999.0,,0.0,34.39,100.0,0.0,100.0,25.0,30.0,0.0,not_interpretable,likely_false_boundary,likely false/internal boundary
-59.5,thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,19.261375334784343,-999.0,-1018.2613753347844,,-999.0,,0.0,0.0,0.0,0.0,32.0,0.0,85.0,100.0,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,10.08162232100581,-999.0,-1009.081622321006,,2.0926858900192933,2200.2096707813707,0.5010951015491824,13.43,0.0,49.65,32.0,0.0,85.0,90.39,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.818965943336,110.69606493723512,-0.3686469279128909,0,none,True,clear ocean boundary,28.23670542345714,-999.0,-1027.2367054234571,,-2.9073141099807067,2200.2096707813707,0.5010951015491824,0.0,0.0,17.54,32.0,25.0,85.0,88.14,high,ocean_candidate,high-confidence ocean candidate
-59.5,thin_3km_reason_mode,complex_with_clutter,Complex + clutter,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.818965943336,110.69606493723512,-0.3686469279128909,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,false layer stronger,11.238412866633498,15.29609528431588,4.057682417682381,2246.92898738321,-999.0,,0.0,15.81,98.69,0.0,100.0,0.0,20.0,17.96,low,likely_false_boundary,likely false/internal boundary
-59.5,thin_3km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.818965943336,110.69606493723512,-0.3686469279128909,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,surface clutter in shallow window,-10.633577696591104,-5.104573086643111,5.529004609947993,2158.92898738321,3.520806929434464,2200.2096707813707,0.5010951015491824,100.0,0.0,90.0,100.0,0.0,20.0,0.0,not_interpretable,surface_clutter,likely surface-clutter echo
-59.5,thin_3km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.818965943336,110.69606493723512,-0.3686469279128909,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,True,false layer stronger,7.521505405860228,13.050510015808223,5.529004609947997,2158.92898738321,-1.479193070565536,2200.2096707813707,0.5010951015491824,34.39,100.0,17.54,100.0,25.0,20.0,0.0,not_interpretable,likely_false_boundary,likely false/internal boundary
-59.0,thin_3km_reason_mode,clean_ice_control,Clean ice,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2896.5245361013485,112.99219424849356,1.3570697895096584,0,none,True,clear ocean boundary,19.211117454203954,-999.0,-1018.211117454204,,-999.0,,0.0,0.0,0.0,0.0,5.0,0.0,85.0,100.0,high,ocean_candidate,high-confidence ocean candidate
-59.0,thin_3km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2896.5245361013485,112.99219424849356,1.3570697895096584,0,none,True,clear ocean boundary,9.941082673445742,-999.0,-1008.9410826734456,,-999.0,,0.0,10.89,0.0,0.0,5.0,0.0,85.0,98.61,high,ocean_candidate,high-confidence ocean candidate
-59.0,thin_3km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2896.5245361013485,112.99219424849356,1.3570697895096584,0,none,True,clear ocean boundary,28.09616577589707,-999.0,-1027.0961657758971,,-999.0,,0.0,0.0,0.0,0.0,5.0,25.0,85.0,93.4,high,ocean_candidate,high-confidence ocean candidate
-59.0,thin_3km_reason_mode,salt_layers_reason,Salt layers,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2896.5245361013485,112.99219424849356,1.3570697895096584,1,Directly paper anchored epsilon and layer thicknesses,True,clear ocean boundary,19.210117454203957,3.099590708623508,-16.110526745580444,1448.2622680506745,-999.0,,0.0,0.0,0.0,0.0,27.0,0.0,85.0,100.0,high,ocean_candidate,high-confidence ocean candidate
-59.0,thin_3km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2896.5245361013485,112.99219424849356,1.3570697895096584,1,Directly paper anchored epsilon and layer thicknesses,True,clear ocean boundary,9.93850068454827,-6.861844163217088,-16.80034484776536,1448.2622680506745,-999.0,,0.0,13.55,0.0,0.0,27.0,0.0,85.0,95.62,high,ocean_candidate,high-confidence ocean candidate
-59.0,thin_3km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2896.5245361013485,112.99219424849356,1.3570697895096584,1,Directly paper anchored epsilon and layer thicknesses,True,clear ocean boundary,28.093583786999595,11.29323893923425,-16.800344847765345,1448.2622680506745,-999.0,,0.0,0.0,0.0,0.0,27.0,25.0,85.0,90.54,high,ocean_candidate,high-confidence ocean candidate
